"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2000-02",100.6875,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2000-03",100.7836,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2000-04",100.9052,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2000-05",101.0073,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2000-06",101.0506,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2000-07",101.0025,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2000-08",100.8333,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2000-09",100.5394,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2000-10",100.1896,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2000-11",99.9187,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2000-12",99.7968,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2001-01",99.816,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2001-02",99.9316,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2001-03",100.0902,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2001-04",100.2169,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2001-05",100.2191,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2001-06",100.0629,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2001-07",99.8102,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2001-08",99.591,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2001-09",99.4877,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2001-10",99.5252,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2001-11",99.7111,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.06,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.543,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2002-02",101.0321,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2002-03",101.3848,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2002-04",101.5501,
"CAN","CCI","AMPLITUD","LTRENDIDX","M","2002-05",101.5972,
