"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","BCI","AMPLITUD","LTRENDIDX","M","1999-12",101.2243,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2000-01",101.4556,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2000-02",101.7221,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2000-03",101.979,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2000-04",102.1553,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2000-05",102.1814,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2000-06",102.0975,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2000-07",101.9328,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2000-08",101.6942,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2000-09",101.4363,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2000-10",101.215,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2000-11",101.061,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2000-12",100.9157,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2001-01",100.6905,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2001-02",100.3175,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2001-03",99.87929,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2001-04",99.48849,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2001-05",99.23239,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2001-06",99.07005,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2001-07",98.95544,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2001-08",98.86692,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2001-09",98.78896,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2001-10",98.72468,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2001-11",98.69785,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2001-12",98.74129,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2002-01",98.92361,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2002-02",99.30587,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2002-03",99.75916,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2002-04",100.114,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2002-05",100.2388,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2002-06",100.2164,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2002-07",100.1435,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2002-08",100.0769,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2002-09",100.0307,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2002-10",100.0051,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2002-11",99.99418,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2002-12",99.97364,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2003-01",99.91192,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2003-02",99.79057,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2003-03",99.66607,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2003-04",99.6202,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2003-05",99.71375,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2003-06",99.86146,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2003-07",99.94733,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2003-08",99.88579,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2003-09",99.74466,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2003-10",99.61684,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2003-11",99.57156,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2003-12",99.59233,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2004-01",99.66018,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2004-02",99.77091,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2004-03",99.90517,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2004-04",100.0507,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2004-05",100.2008,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2004-06",100.342,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2004-07",100.4557,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2004-08",100.5288,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2004-09",100.5922,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2004-10",100.6852,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2004-11",100.8304,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2004-12",100.9781,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2005-01",101.0521,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2005-02",100.9907,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2005-03",100.8632,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2005-04",100.7601,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2005-05",100.7501,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2005-06",100.8119,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2005-07",100.9206,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2005-08",101.0614,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2005-09",101.1972,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2005-10",101.2794,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2005-11",101.2643,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2005-12",101.1826,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2006-01",101.0599,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2006-02",100.9028,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2006-03",100.7273,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2006-04",100.5447,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2006-05",100.3662,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2006-06",100.2148,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2006-07",100.1328,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2006-08",100.162,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2006-09",100.2557,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2006-10",100.3625,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2006-11",100.4471,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2006-12",100.4971,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2007-01",100.4957,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2007-02",100.4283,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2007-03",100.3411,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2007-04",100.2946,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2007-05",100.3366,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2007-06",100.435,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2007-07",100.5499,
"CAN","BCI","AMPLITUD","LTRENDIDX","M","2007-08",100.6487,
