"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","CLI","AMPLITUD","LTRENDIDX","M","1999-11",100.3909,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","1999-12",100.5489,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2000-01",100.6913,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2000-02",100.8119,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2000-03",100.9019,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2000-04",100.9499,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2000-05",100.9603,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2000-06",100.9314,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2000-07",100.8477,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2000-08",100.6895,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2000-09",100.4477,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2000-10",100.1374,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2000-11",99.79335,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2000-12",99.45968,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2001-01",99.16509,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2001-02",98.93031,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2001-03",98.76678,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2001-04",98.66254,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2001-05",98.59436,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2001-06",98.54712,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2001-07",98.53403,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2001-08",98.57776,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2001-09",98.69469,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2001-10",98.90796,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2001-11",99.23241,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2001-12",99.62229,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2002-01",100.0224,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2002-02",100.3705,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2002-03",100.6119,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2002-04",100.7157,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2002-05",100.6857,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2002-06",100.5396,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2002-07",100.3098,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2002-08",100.0521,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2002-09",99.7987,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2002-10",99.56157,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2002-11",99.35555,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2002-12",99.17948,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2003-01",99.02303,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2003-02",98.8795,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2003-03",98.783,
"CAN","CLI","AMPLITUD","LTRENDIDX","M","2003-04",98.76567,
