"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","8853158","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","8646429","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","8678073","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","9061303","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","8929738","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","8710714","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","8781713","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","8800326","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","8753363","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","8976812","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","8874031","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","8938218","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","9077916","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","9057133","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","9955705","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Food manufacturing [311]","Dollars","81","thousands","3","v800452","1.1.2.3","8681104","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1185271","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1195415","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1184496","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1194221","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1156659","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1150605","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1191994","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1177825","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1183169","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1203583","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1184691","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1178452","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1253639","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1249130","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1291066","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Beverage and tobacco product manufacturing [312]","Dollars","81","thousands","3","v800453","1.1.2.36","1095234","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","163241","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","152045","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","158233","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","157423","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","167319","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","153277","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","161621","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","159912","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","166142","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","156982","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","156240","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","154349","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","147574","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","146950","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","140809","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile mills [313]","Dollars","81","thousands","3","v800454","1.1.2.43","110352","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","138884","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","134537","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","144829","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","143763","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","139604","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","140351","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","133369","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","119545","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","123578","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","124711","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","117711","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","109019","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","106778","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","116011","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","106449","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","94987","","","","0"
