"REF_DATE","GEO","DGUID","Seasonal adjustment","Prices","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v65201210","1.1.1.1","1325658","","","","0"
"2000-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v65201210","1.1.1.1","1325888","","","","0"
"2000-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v65201210","1.1.1.1","1336931","","","","0"
"2000-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v65201210","1.1.1.1","1335504","","","","0"
"2000-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v65201210","1.1.1.1","1343064","","","","0"
"2000-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v65201210","1.1.1.1","1348065","","","","0"
"2000-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v65201210","1.1.1.1","1351075","","","","0"
"2000-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v65201210","1.1.1.1","1356048","","","","0"
"2000-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v65201210","1.1.1.1","1358502","","","","0"
"2000-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v65201210","1.1.1.1","1361067","","","","0"
